mark_status,station_key,station_name,display_name,available_lines,click_x_px,click_y_px,click_x_pct,click_y_pct,click_radius_px,click_shape,source_method,manual_override_note
완료,당산,당산,당산역,2,1424,1500,27.8125,52.083333333333336,24,circle,auto_from_visual_nodes_avg,
완료,합정,합정,합정역,"2,6",1424,1332,27.8125,46.25,42,circle,auto_from_visual_nodes_avg,
완료,홍대입구,홍대입구,홍대입구역,2,1494,1244,29.1796875,43.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,신촌,신촌,신촌역,2,1536,1194,30.0,41.458333333333336,24,circle,auto_from_visual_nodes_avg,
완료,이대,이대,이대역,2,1576,1144,30.78125,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,아현,아현,아현역,2,1664,1144,32.5,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,충정로,충정로,충정로역,"2,5",1752,1144,34.21875,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,용답,용답,용답역,2,2972,1204,58.046875,41.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,신답,신답,신답역,2,2972,1064,58.046875,36.94444444444444,24,circle,auto_from_visual_nodes_avg,
완료,용두,용두,용두역,2,2784,1064,54.37499999999999,36.94444444444444,24,circle,auto_from_visual_nodes_avg,
완료,도림천,도림천,도림천역,2,1320,1720,25.78125,59.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,양천구청,양천구청,양천구청역,2,1220,1620,23.828125,56.25,24,circle,auto_from_visual_nodes_avg,
완료,신정네거리,신정네거리,신정네거리역,2,1108,1508,21.640625,52.361111111111114,24,circle,auto_from_visual_nodes_avg,
완료,까치산,까치산,까치산역,"2,5",1108,1348,21.640625,46.80555555555556,42,circle,auto_from_visual_nodes_avg,
완료,지축,지축,지축역,3,984,488,19.21875,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
완료,구파발,구파발,구파발역,3,1140,488,22.265625,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
완료,연신내,연신내,연신내역,"3,6",1296,488,25.3125,16.944444444444446,42,circle,auto_from_visual_nodes_avg,
완료,불광,불광,불광역,"3,6",1460,488,28.515625,16.944444444444446,42,circle,auto_from_visual_nodes_avg,
완료,녹번,녹번,녹번역,3,1616,488,31.5625,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
완료,홍제,홍제,홍제역,3,1772,488,34.609375,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
